Date,Zodiak,Horoscope
1.01.2016,Козерог,"
В семейной жизни Козерогу необходимо быть более внимательным к настроению и желаниям своей второй половинки. Она будет излишне сентиментальная сегодня. К вечеру все наладиться, так что потерпите чуть-чуть. На работе сегодня лучше довериться интуиции, а не рациональной логике.
"
2.01.2016,Козерог,"
Козерог будет сегодня иметь большой соблазн, чтобы рискнуть, однако стоит соразмерить свои силы и возможности,  и не выходить за пределы намеченного плана, поскольку риск дело благородно, но только в умеренных дозах.
"
3.01.2016,Козерог,"
Козерог будет способен сегодня полностью управлять своей жизнью. Если вы уверены в себе и в своих силах, вам будет по плечу любое рискованное мероприятие, если же нет, лучше отказаться, какие бы несметные богатства вам не сулило это дело.
"
4.01.2016,Козерог,"
Козерог будет сегодня увлечен работой, однако звезды советуют придерживаться заранее отработанного плана и не нагружать себя дополнительными делами, тогда вы достигните наибольшего успеха. Возможны некие сообщения из-за рубежа, связанные с работой.
"
5.01.2016,Козерог,"
Козерогам звезды не советуют сегодня начинать глобальные дела, поскольку вы можете использовать непроверенные данные. Лучше всего заняться внесением дополнений и изменений в уже существующие проекты.
"
6.01.2016,Козерог,"
Сегодня от вас Водолеи потребуется весь ваш профессионализм и связи, которые помогут вам в решении проблем. Однако, все-таки найдутся люди, которые откажут вам в помощи. Возможны проблемы во время путешествий и с получением информации.
"
7.01.2016,Козерог,"
Будьте внимательны, Козероги, с завязыванием новых контактов, с одной стороны они будут весьма полезны и поддержат вас, с другой могут принести в вашу жизнь лишнюю суету. Могут возникнуть проблемы из-за разного понимания одних и тех же принципов мироустройства.
"
8.01.2016,Козерог,"
Официальные встречи и переговоры стоит провести с самого утра, так советуют звезды Козерогам. Поскольку после полудня вас будут занимать в основном вопросы личного характера. Прислушайтесь к интуиции при решении личных проблем.
"
9.01.2016,Козерог,"
Риск сегодня для Козерога весьма не желателен. Если же вы все-таки ввязались в какую-то авантюрную ситуацию, то выбирайте проверенных людей, а лучше всего надейтесь только на себя.
"
10.01.2016,Козерог,"
Сегодня Козерог будет увлечен каким-то весьма интересным и вдохновляющим проектом, для которого понадобятся все ресурсы, которые есть в наличии. Звезды не советуют сегодня рисковать или жертвовать деньги, поскольку есть вероятность обмана.
"
11.01.2016,Козерог,"
Сегодня вы, Козероги, будете удачливы в делах, благодаря своей энергии и содействию со стороны. Особенно удачными будут дела, не известные широкой публике или связанные с контактами издалека.
"
12.01.2016,Козерог,"
Козерог даст сегодня некоторым своим тайным желаниям и идеям выход. Будьте осторожны, поскольку вы можете обжечься и переменить  свое мнение. Вероятно, сегодня вас ждет скрытая помощь со стороны. И вы также получите удовольствие, если кому то поможете скрытно.
"
